# z      distance_modulus     err
    0.085750    37.957328     0.100350
    0.087980    38.010348     0.106600
    0.088330    38.206816     0.116150
    0.088590    38.026151     0.106050
    0.089600    38.319997     0.116850
    0.091210    38.267575     0.110300
    0.092010    38.217556     0.113900
    0.092780    38.099869     0.109000
    0.093900    38.165597     0.149450
    0.094000    38.158186     0.102850
    0.096410    38.342877     0.147950
    0.099290    38.414494     0.109650
    0.100360    38.308201     0.111450
    0.100440    38.374207     0.109350
    0.102270    38.510918     0.110600
    0.102420    38.482365     0.107700
    0.102800    38.473318     0.144300
    0.102930    38.229682     0.123250
    0.102980    38.346648     0.103000
    0.103400    38.478369     0.100700
    0.103600    38.297200     0.105550
    0.105880    38.578998     0.100150
    0.106430    38.480848     0.102450
    0.106890    38.535625     0.104550
    0.107200    38.566567     0.111100
    0.107570    38.571271     0.108650
    0.109020    38.613613     0.102850
    0.109890    38.579012     0.120850
    0.112290    38.665717     0.102600
    0.113760    38.672197     0.106750
    0.116390    38.801083     0.101850
    0.116590    38.701592     0.103600
    0.117620    38.852658     0.105950
    0.117820    38.788937     0.099100
    0.117870    38.839646     0.113650
    0.118700    38.671029     0.124400
    0.118700    38.862640     0.133900
    0.119440    38.847668     0.124500
    0.119810    38.988557     0.142000
    0.120050    38.663382     0.102100
    0.120290    38.690633     0.112950
    0.120680    38.837547     0.191600
    0.121750    38.742924     0.098050
    0.121800    38.890124     0.134450
    0.122110    38.679398     0.114950
    0.122900    38.975573     0.116650
    0.122910    38.866676     0.103300
    0.123470    38.993413     0.102850
    0.123650    38.854734     0.108300
    0.123680    38.982887     0.102200
    0.124400    38.952525     0.100600
    0.125310    38.891049     0.103550
    0.126200    38.815296     0.113000
    0.126310    38.992555     0.134850
    0.126720    38.836229     0.109700
    0.126790    39.025950     0.119650
    0.126870    39.103889     0.103650
    0.127830    38.987327     0.132000
    0.128910    39.227373     0.127950
    0.129130    39.025292     0.114300
    0.129240    38.869440     0.108750
    0.129410    39.110192     0.107500
    0.129950    38.958577     0.121650
    0.132260    38.904699     0.133300
    0.132690    38.880594     0.099400
    0.133660    39.107018     0.101000
    0.135230    39.164551     0.121600
    0.135270    39.183808     0.113500
    0.136530    38.940973     0.110500
    0.136590    38.991057     0.123050
    0.136720    39.186361     0.113800
