# Ell      ell*(ell+1)C_l/(2\pi)     err
   262    75.783891    12.931000
   263    91.486083    13.018000
   264    45.156416    13.104000
   265    92.721070    13.189000
   266    85.995232    13.274000
   267    86.137480    13.358000
   268    70.892025    13.440000
   269    91.243975    13.522000
   270    71.684091    13.603000
   271    61.939150    13.683000
   272    96.123883    13.761000
   273   103.915197    13.838000
   274   109.539056    13.914000
   275    78.560148    13.989000
   276   101.111758    14.062000
   277    99.353563    14.134000
   278    94.105524    14.204000
   279    98.171621    14.273000
   280   115.748035    14.340000
   281    95.480875    14.406000
   282   112.416541    14.470000
   283    72.631290    14.532000
   284    84.042770    14.593000
   285   106.160981    14.652000
   286    95.805785    14.709000
   287    89.728010    14.764000
   288   132.847467    14.818000
   289    84.214141    14.869000
   290   122.455808    14.919000
   291   128.198534    14.967000
   292   108.921513    15.012000
   293    98.857845    15.056000
   294   101.357146    15.098000
   295   114.519867    15.137000
   296   115.852605    15.175000
   297   124.410950    15.211000
   298    99.674272    15.244000
   299   133.052293    15.276000
   300   102.230055    15.305000
   301   148.029318    15.332000
   302   104.824942    15.357000
   303   113.547564    15.380000
   304   127.358374    15.401000
   305   109.770649    15.420000
   306   126.888983    15.437000
   307   107.647359    15.451000
   308    87.688283    15.464000
   309   123.301428    15.474000
   310   106.476071    15.482000
   311   107.839399    15.488000
   312   111.773785    15.492000
   313   139.832914    15.494000
   314   123.233823    15.494000
   315   119.957607    15.491000
   316   107.447253    15.487000
   317   116.306024    15.481000
   318   111.478179    15.472000
   319    90.409236    15.462000
   320   150.354123    15.450000
   321   123.918795    15.435000
   322   135.409475    15.419000
   323    84.325962    15.401000
   324   118.445548    15.381000
   325    84.676832    15.359000
   326   119.400697    15.335000
   327   119.583374    15.310000
   328   110.128187    15.282000
   329   117.315182    15.253000
   330   119.030281    15.223000
   331    71.113150    15.190000
   332   100.311980    15.157000
   333   106.551141    15.121000
   334   104.442647    15.084000
   335    85.017524    15.046000
   336    69.919871    15.006000
   337   126.390530    14.965000
   338   143.300001    14.922000
   339    85.048670    14.878000
   340    90.861605    14.833000
   341    91.972392    14.787000
   342    77.582120    14.739000
   343   100.773799    14.690000
   344    93.170357    14.641000
   345   110.735194    14.590000
   346    79.528236    14.539000
   347    90.139467    14.486000
   348    94.789243    14.433000
   349    74.400034    14.379000
   350    65.476123    14.324000
   351    81.070101    14.269000
   352    93.163216    14.213000
   353    76.433429    14.157000
   354   129.614075    14.100000
   355    63.442729    14.042000
   356    80.844089    13.985000
   357    69.891215    13.927000
   358    51.459484    13.868000
   359    69.848569    13.810000
   360    59.085947    13.752000
   361    77.799956    13.693000
   362    69.670382    13.635000
   363    68.366188    13.576000
   364    86.940552    13.518000
   365    56.192633    13.460000
   366    71.684535    13.402000
   367    47.875843    13.344000
   368    55.793176    13.287000
   369    56.505026    13.230000
   370    58.713905    13.174000
   371    65.595972    13.118000
   372    60.199939    13.063000
   373    39.126225    13.009000
   374    57.296870    12.955000
   375    39.141067    12.902000
   376    46.068602    12.849000
   377    25.934790    12.798000
   378    47.741451    12.747000
   379    24.972268    12.698000
   380    58.271833    12.649000
   381    20.433838    12.601000
   382    26.013100    12.555000
   383    33.629204    12.509000
   384    27.054711    12.465000
   385    32.677187    12.422000
   386    31.585489    12.380000
   387    16.591403    12.339000
   388    21.861951    12.299000
   389     9.352303    12.261000
   390    15.569975    12.224000
   391    32.031920    12.188000
   392    27.816070    12.154000
   393     0.505585    12.121000
   394    11.272969    12.089000
   395     7.732272    12.058000
   396     9.278673    12.029000
   397    -0.493421    12.002000
   398     6.737100    11.975000
   399    -8.650147    11.950000
   400    -1.871160    11.926000
   401     9.866848    11.904000
   402    -7.017706    11.883000
   403   -24.574751    11.863000
   404   -20.542670    11.844000
   405     8.292381    11.827000
   406   -16.925147    11.811000
   407   -20.276501    11.796000
   408   -19.438699    11.782000
   409   -28.656710    11.770000
   410   -11.615815    11.758000
   411   -14.690216    11.748000
   412   -46.009309    11.738000
   413   -24.934902    11.730000
   414   -23.972721    11.722000
   415   -36.775544    11.716000
   416   -47.647632    11.710000
   417   -15.441918    11.706000
   418   -12.091535    11.702000
   419   -41.922243    11.698000
   420   -26.107915    11.696000
   421   -37.852536    11.694000
   422   -33.350359    11.693000
   423   -50.339433    11.692000
   424   -43.106084    11.692000
   425   -52.680803    11.693000
   426   -44.690863    11.694000
   427   -30.737345    11.695000
   428   -39.783444    11.697000
   429   -52.379762    11.699000
   430   -45.011710    11.701000
   431   -28.341347    11.703000
   432   -54.614835    11.706000
   433   -78.826535    11.709000
   434   -46.629862    11.712000
   435   -46.634543    11.715000
   436   -35.459701    11.718000
   437   -58.834338    11.721000
   438   -24.679921    11.723000
   439   -52.995261    11.726000
   440   -65.092769    11.729000
   441   -30.893788    11.732000
   442   -64.353079    11.734000
   443   -52.978048    11.736000
   444   -53.976362    11.738000
   445   -79.593550    11.740000
   446   -56.072211    11.741000
   447   -65.876273    11.742000
   448   -62.652967    11.743000
   449   -61.996007    11.744000
   450   -77.906472    11.744000
   451   -74.662665    11.743000
   452   -44.773283    11.742000
   453   -72.045601    11.741000
   454   -50.188654    11.740000
   455   -63.410341    11.737000
   456   -84.870446    11.735000
   457   -66.705275    11.732000
   458   -73.496298    11.728000
   459   -88.113011    11.724000
   460   -87.577452    11.720000
   461   -78.421520    11.715000
   462   -66.264011    11.710000
   463   -61.173066    11.704000
   464   -89.163762    11.697000
   465   -56.811042    11.691000
   466   -79.254139    11.683000
   467   -65.679985    11.676000
   468   -69.552822    11.668000
   469   -46.245023    11.659000
   470   -59.724587    11.650000
   471   -84.445079    11.641000
   472   -96.487421    11.631000
   473   -86.905628    11.621000
   474   -64.772644    11.611000
   475   -64.563885    11.600000
   476   -46.871188    11.589000
   477   -22.532670    11.577000
   478   -72.509734    11.566000
   479   -63.818935    11.554000
   480   -58.872238    11.542000
   481   -90.638408    11.530000
   482   -66.215184    11.517000
   483   -55.926094    11.505000
   484   -61.803324    11.492000
   485   -70.408911    11.479000
   486   -62.896475    11.467000
   487   -57.439762    11.454000
   488   -60.684408    11.441000
   489   -68.035774    11.428000
   490   -60.973527    11.415000
   491   -87.265472    11.403000
   492   -80.955666    11.390000
   493   -66.069971    11.378000
   494   -49.081025    11.366000
   495   -46.157397    11.354000
   496   -50.334426    11.343000
   497   -55.762270    11.331000
   498   -67.357969    11.321000
   499   -63.200750    11.310000
   500   -72.768278    11.300000
   501   -54.698759    11.290000
   502   -60.295858    11.281000
   503   -49.109275    11.266000
   504   -62.935306    11.258000
   505   -53.688354    10.697000
   506   -61.637578    10.684000
   507   -58.323437    10.665000
   508   -59.167166    10.654000
   509   -57.174367    10.643000
   510   -46.294217    10.634000
   511   -35.740501    10.625000
   512   -58.831026    10.617000
   513   -28.218968    10.609000
   514   -44.065161    10.603000
   515   -69.407964    10.598000
   516   -49.421619    10.594000
   517   -30.834252    10.591000
   518   -44.717813    10.588000
   519   -21.847781    10.587000
   520   -42.326921    10.587000
   521   -38.561930    10.588000
   522   -40.389804    10.590000
   523   -35.809990    10.593000
   524   -35.241586    10.597000
   525   -25.604072    10.602000
   526   -16.482034    10.607000
   527   -46.475651    10.615000
   528   -23.456618    10.624000
   529   -19.444675    10.633000
   530   -37.526582    10.644000
   531   -21.484911    10.656000
   532     3.506706    10.669000
   533    -5.832071    10.683000
   534   -34.026526    10.698000
   535    -7.665820    10.715000
   536   -28.079427    10.732000
   537   -37.018740    10.750000
   538   -33.100746    10.770000
   539   -14.172980    10.790000
   540    -4.023825    10.810000
   541   -15.422211    10.832000
   542    14.952613    10.856000
   543    -2.528085    10.880000
   544   -13.023994    10.905000
   545   -13.569166    10.931000
   546   -13.748751    10.958000
   547    -9.230993    10.986000
   548     1.427047    11.014000
   549     8.777645    11.043000
   550    11.413909    11.073000
   551    21.284032    11.104000
   552    11.114614    11.135000
   553    -4.299090    11.167000
   554     5.729912    11.199000
   555     5.476785    11.232000
   556     9.330983    11.266000
   557    -5.619596    11.300000
   558    22.881310    11.334000
   559    22.691038    11.369000
   560    15.019367    11.404000
   561    -6.512760    11.440000
   562    11.573446    11.476000
   563    19.908646    11.512000
   564     5.392557    11.549000
   565    24.141753    11.585000
   566    25.022315    11.622000
   567    28.468621    11.659000
   568    21.127509    11.696000
   569    22.425339    11.733000
   570    31.902234    11.772000
   571   -20.703504    11.809000
   572    16.944947    11.846000
   573    17.281486    11.883000
   574    10.891006    11.920000
   575    32.843224    11.957000
   576    18.110411    11.994000
   577    36.908198    12.030000
   578   -11.225513    12.067000
   579    13.389721    12.103000
   580    33.639440    12.139000
   581    24.144793    12.174000
   582    41.719115    12.210000
   583    32.715338    12.246000
   584    43.121138    12.281000
   585    23.654870    12.315000
   586    45.465158    12.349000
   587    10.174360    12.383000
   588    20.222238    12.416000
   589    15.539956    12.448000
   590    36.932183    12.480000
   591    46.603592    12.512000
   592    50.342549    12.543000
   593    24.714447    12.574000
   594    41.701860    12.605000
   595    35.294140    12.634000
   596    42.814123    12.664000
   597    41.814928    12.693000
   598    34.157833    12.721000
   599    31.003173    12.749000
   600    34.537997    12.776000
   601    32.944268    12.803000
   602    20.584132    12.829000
   603     3.057269    12.854000
   604    36.035491    12.879000
   605    25.797381    12.904000
   606    36.153465    12.928000
   607    50.616199    12.952000
   608    27.666539    12.975000
   609     7.188692    12.997000
   610    12.574585    13.019000
   611    16.285084    13.041000
   612    37.275594    13.062000
   613    33.475947    13.082000
   614    21.367188    13.102000
   615    27.786323    13.122000
   616    45.027667    13.141000
   617    42.614270    13.160000
   618    31.699180    13.178000
   619    11.682785    13.196000
   620     4.218260    13.213000
   621    26.259768    13.230000
   622     4.163110    13.247000
   623    -8.641375    13.263000
   624    10.825597    13.279000
   625    24.297668    13.295000
   626    31.898846    13.310000
   627    27.932798    13.325000
   628     2.304399    13.340000
   629    45.311303    13.355000
   630     1.382840    13.369000
   631     1.643571    13.383000
   632   -10.953689    13.397000
   633    -5.602783    13.411000
   634     5.526852    13.424000
   635    14.567084    13.438000
   636     4.991886    13.451000
   637    -5.158926    13.464000
   638   -20.782861    13.477000
   639   -13.693842    13.490000
   640    -0.481939    13.503000
   641    -5.133658    13.516000
   642    -6.459603    13.529000
   643   -23.953782    13.542000
   644   -38.473136    13.555000
   645     4.769742    13.568000
   646   -14.301068    13.581000
   647   -17.561814    13.595000
   648    -7.934746    13.608000
   649   -14.707494    13.621000
   650   -10.148571    13.635000
   651     5.301740    13.649000
   652   -29.552421    13.663000
   653    -0.625038    13.677000
   654   -34.501501    13.691000
   655    -5.820085    13.705000
   656   -12.292596    13.720000
   657   -14.363682    13.735000
   658    -9.108078    13.750000
   659   -45.720642    13.765000
   660   -42.177559    13.781000
   661   -39.860365    13.797000
   662   -34.709316    13.813000
   663   -37.351671    13.829000
   664   -27.617126    13.846000
   665   -22.029703    13.863000
   666   -24.364293    13.880000
   667   -45.741054    13.897000
   668   -49.747494    13.915000
   669   -24.157263    13.933000
   670   -53.355611    13.952000
   671   -58.743889    13.971000
   672   -51.918244    13.990000
   673   -45.809902    14.009000
   674   -65.078614    14.028000
   675   -61.770697    14.048000
   676   -48.553344    14.069000
   677   -36.226057    14.089000
   678   -58.303892    14.110000
   679   -57.725002    14.131000
   680   -66.289155    14.152000
   681   -13.895969    14.174000
   682   -93.221416    14.195000
   683   -76.634749    14.217000
   684   -51.993488    14.240000
   685   -62.929754    14.262000
   686   -85.256134    14.284000
   687   -59.540209    14.307000
   688   -77.155520    14.330000
   689   -80.254686    14.353000
   690   -81.234969    14.376000
   691   -85.703763    14.400000
   692   -87.553971    14.423000
   693   -63.167056    14.446000
   694   -79.146647    14.470000
   695   -65.144989    14.493000
   696   -85.698731    14.517000
   697  -104.979190    14.540000
   698  -101.628169    14.564000
   699   -79.561324    14.588000
   700   -54.489110    14.611000
   701  -116.358415    14.634000
   702   -66.505957    14.658000
   703  -115.499394    14.681000
   704  -106.191309    14.704000
   705  -120.960391    14.727000
   706   -73.186269    14.750000
   707  -104.835608    14.773000
   708  -102.932864    14.795000
   709   -99.163972    14.817000
   710   -90.174393    14.839000
   711  -103.728677    14.861000
   712  -101.344020    14.883000
   713  -114.179963    14.904000
   714  -110.989019    14.925000
   715  -118.871106    14.945000
   716  -124.136135    14.965000
   717  -109.198943    14.985000
   718  -127.406674    15.005000
   719  -147.727203    15.024000
   720  -123.055562    15.042000
   721  -112.371599    15.061000
   722  -130.799196    15.078000
   723   -81.723649    15.096000
   724  -116.125327    15.113000
   725  -114.999946    15.129000
   726  -115.890993    15.145000
   727  -113.960744    15.160000
   728  -105.303317    15.175000
   729  -100.214071    15.189000
   730   -89.030857    15.202000
   731   -98.600440    15.215000
   732  -112.355534    15.228000
   733  -161.604136    15.240000
   734  -123.292022    15.251000
   735  -123.278347    15.262000
   736  -114.420760    15.272000
   737  -103.564478    15.281000
   738  -130.971739    15.290000
   739  -121.494444    15.298000
   740  -152.941985    15.306000
   741  -126.624453    15.313000
   742  -130.948576    15.319000
   743  -127.859177    15.325000
   744  -136.356332    15.330000
   745  -108.401121    15.334000
   746  -126.886108    15.338000
   747  -162.409494    15.342000
   748  -138.892080    15.344000
   749  -149.976300    15.346000
   750  -140.245622    15.347000
   751  -158.187403    15.348000
   752  -131.621311    15.348000
   753  -138.799646    15.348000
   754  -151.901678    15.347000
   755  -131.684829    15.345000
   756  -134.610321    15.343000
   757  -102.343840    15.340000
   758  -138.094659    15.337000
   759  -140.558279    15.333000
   760  -104.548127    15.328000
   761  -108.753935    15.323000
   762  -142.609475    15.318000
   763  -122.416768    15.312000
   764  -103.738791    15.305000
   765  -145.698751    15.298000
   766  -125.908171    15.290000
   767  -125.147295    15.283000
   768  -111.391502    15.274000
   769  -158.385991    15.266000
   770  -128.754479    15.256000
   771  -106.967652    15.247000
   772  -139.217457    15.237000
   773  -129.855536    15.227000
   774   -92.658372    15.216000
   775  -141.441660    15.205000
   776   -88.674968    15.194000
   777  -136.300085    15.182000
   778  -139.467243    15.171000
   779  -112.881842    15.159000
   780  -121.482306    15.146000
   781  -123.160588    15.134000
   782  -102.066256    15.121000
   783  -125.182215    15.109000
   784   -97.502088    15.096000
   785  -100.936971    15.083000
   786  -110.159882    15.069000
   787  -105.792684    15.056000
   788   -91.274664    15.043000
   789   -96.283449    15.029000
   790   -88.789275    15.016000
   791  -104.811444    15.003000
   792   -98.304507    14.990000
   793   -88.487334    14.976000
   794   -93.434265    14.963000
   795  -102.688392    14.950000
   796   -82.610608    14.937000
   797   -82.602781    14.924000
   798   -80.327060    14.912000
   799   -83.489610    14.899000
   800   -82.195558    14.886000
   801   -53.836351    14.874000
   802   -90.164347    14.862000
   803  -106.230508    14.850000
   804   -99.292081    14.839000
   805   -65.246726    14.827000
   806  -111.361132    14.816000
   807   -71.791164    14.805000
   808   -81.505990    14.795000
   809   -53.020899    14.785000
   810   -58.843440    14.775000
   811   -60.164659    14.765000
   812   -60.602595    14.756000
   813   -72.427766    14.747000
   814   -67.072411    14.739000
   815   -56.938646    14.731000
   816   -67.518716    14.723000
   817   -53.108815    14.716000
   818   -80.075807    14.709000
   819   -44.167063    14.703000
   820   -66.330330    14.697000
   821   -55.760195    14.691000
   822   -45.184985    14.686000
   823   -73.768979    14.681000
   824   -29.438719    14.677000
   825   -56.757512    14.673000
   826   -27.064579    14.669000
   827   -52.536138    14.666000
   828   -30.575007    14.664000
   829   -54.509246    14.662000
   830   -14.446137    14.660000
   831   -29.611055    14.659000
   832   -45.806408    14.658000
   833   -14.485846    14.658000
   834    13.879895    14.658000
   835   -43.180131    14.658000
   836   -47.117938    14.659000
   837   -15.234079    14.660000
   838   -26.694365    14.662000
   839   -10.213938    14.664000
   840   -17.539008    14.666000
   841   -14.017052    14.669000
   842     2.626988    14.672000
   843   -14.465302    14.675000
   844    20.965064    14.679000
   845   -12.478387    14.683000
   846   -14.563979    14.687000
   847     6.869303    14.692000
   848   -39.973090    14.697000
   849     6.186306    14.702000
   850    -6.757812    14.708000
   851    13.816138    14.714000
   852     5.954873    14.719000
   853    17.217318    14.726000
   854    13.764200    14.732000
   855   -10.476381    14.738000
   856    18.988052    14.745000
   857    -0.824895    14.751000
   858    -0.093872    14.758000
   859     0.079433    14.765000
   860    -1.160068    14.772000
   861    26.441892    14.779000
   862   -12.531643    14.786000
   863    32.020825    14.793000
   864     4.344603    14.800000
   865    57.020173    14.807000
   866    26.609309    14.814000
