# Ell      ell*(ell+1)C_l/(2\pi)     err
   228  5373.708380   525.911011
   229  6162.753609   524.301025
   230  5495.699996   522.630981
   231  4850.957081   520.924988
   232  5574.941384   519.166992
   233  6111.488715   517.366028
   234  4880.435961   515.521973
   235  5971.614332   513.637024
   236  5660.916098   511.709991
   237  6018.915357   509.730011
   238  5969.208557   507.716003
   239  5275.708406   505.661011
   240  4690.003966   503.565002
   241  5213.507444   501.429993
   242  6084.224979   499.252991
   243  4936.141022   497.042999
   244  6046.108107   494.790985
   245  5528.110821   492.502991
   246  5350.950982   490.183990
   247  4024.386416   487.820007
   248  4767.811118   485.425995
   249  5396.637669   482.997009
   250  4861.468603   480.528015
   251  4925.150256   478.036011
   252  5518.947000   475.500000
   253  4627.202040   472.940002
   254  5716.659891   470.342010
   255  4934.923641   467.717010
   256  5345.362104   465.065002
   257  4723.265214   462.381012
   258  5208.565972   459.670013
   259  5751.982550   456.931000
   260  4942.350657   454.169006
   261  4063.765138   451.381989
   262  5293.682015   448.566986
   263  5760.811932   445.727997
   264  5505.075771   442.867004
   265  4416.711455   439.985992
   266  5278.440112   437.075012
   267  4970.505848   434.148987
   268  4610.237647   431.200989
   269  5283.667361   428.233002
   270  5230.301917   425.248993
   271  5093.455520   422.243011
   272  4320.647308   419.223999
   273  5097.466189   416.184998
   274  4564.186246   413.135010
   275  4020.338361   410.069000
   276  4942.459249   406.989014
   277  3667.203326   403.895996
   278  4350.930451   400.794006
   279  4496.272754   397.675995
   280  4656.937034   394.549988
   281  4517.806668   391.412994
   282  4529.684114   388.269989
   283  4530.268081   385.117004
   284  4869.837455   381.955994
   285  4166.709775   378.787994
   286  3877.945117   375.617004
   287  4114.499642   372.441010
   288  4053.511948   369.260010
   289  4297.115392   366.074005
   290  4238.649297   362.886993
   291  4080.074224   359.697998
   292  3869.496848   356.506989
   293  4167.220226   353.316986
   294  3856.113864   350.123993
   295  4040.755031   346.933990
   296  4025.910690   343.744995
   297  4079.777100   340.561005
   298  3627.273706   337.377014
   299  3647.303367   334.196991
   300  3718.506140   331.023010
   301  3681.736205   327.855011
   302  4019.097443   324.691010
   303  3473.964999   321.533997
   304  4188.499963   318.384003
   305  3847.574744   315.243988
   306  3524.279353   312.109985
   307  3946.900716   308.988007
   308  3813.209778   305.872986
   309  3176.704798   302.770996
   310  3710.211266   299.682007
   311  3988.075021   296.602997
   312  3448.952518   293.535004
   313  3296.983625   290.481995
   314  3067.350344   287.442993
   315  3690.192632   284.420013
   316  2688.163690   281.410004
   317  3155.495190   278.416992
   318  3279.473432   275.441986
   319  3356.609756   272.483002
   320  3242.069044   269.542999
   321  3247.780530   266.619995
   322  3223.744992   263.717010
   323  3159.379098   260.833008
   324  2600.221619   257.970001
   325  3069.236079   255.126999
   326  3117.150532   252.304001
   327  3242.247466   249.505997
   328  3226.250430   246.727997
   329  2753.896727   243.975006
   330  3201.697502   241.242996
   331  2756.508147   238.537003
   332  2895.834248   235.854004
   333  2320.066516   233.195999
   334  3013.442255   230.565002
   335  2519.854445   227.959000
   336  2775.645819   225.380997
   337  2984.312847   222.830002
   338  2452.119275   220.304993
   339  2607.796069   217.809006
   340  2776.329452   215.341003
   341  2727.614479   212.901993
   342  2599.656760   210.492004
   343  2656.048663   208.110992
   344  2561.749477   205.759003
   345  2411.293612   203.438004
   346  2406.528947   201.147003
   347  2529.099409   198.886993
   348  2340.888809   196.658005
   349  2596.689430   194.460007
   350  2668.380576   192.294006
   351  2109.749835   190.160995
   352  2457.595215   188.059998
   353  2138.609782   185.990997
   354  2216.330398   183.955994
   355  2060.319908   181.953995
   356  2218.223294   179.985001
   357  2222.919546   178.050003
   358  2347.785729   176.147995
   359  1890.216219   174.279999
   360  2049.741395   172.445999
   361  1983.437387   170.645004
   362  2110.708798   168.878998
   363  2018.297782   167.147003
   364  2011.006031   165.449997
   365  2123.888655   163.785995
   366  1922.839246   162.158005
   367  1855.844941   160.563995
   368  1609.204991   159.005005
   369  2075.582905   157.481995
   370  2120.692616   155.992996
   371  1823.184878   154.539001
   372  1904.962207   153.119995
   373  1926.001771   151.737000
   374  1907.718573   150.388000
   375  1843.968019   149.072998
   376  1992.086981   147.794006
   377  1966.733130   146.548996
   378  1669.339878   145.337997
   379  1935.969437   144.162003
   380  1792.931395   143.020004
   381  1835.948714   141.912994
   382  1948.789594   140.839005
   383  1623.912638   139.800003
   384  1713.384193   138.794998
   385  1994.606555   137.824005
   386  1938.762787   136.886993
   387  1806.116647   135.983002
   388  1755.617651   135.113998
   389  1812.740015   134.276993
   390  1824.241173   133.473999
   391  1770.541112   132.703003
   392  1745.507488   131.964005
   393  1631.292870   131.257996
   394  1828.065092   130.582993
   395  1732.689271   129.940994
   396  1834.188580   129.328995
   397  1551.045992   128.748001
   398  1388.837037   128.197006
   399  1641.940149   127.678001
   400  1811.847177   127.188004
   401  1667.782060   126.727997
   402  1806.352439   126.296997
   403  1697.377679   125.894997
   404  1782.346851   125.523003
   405  1690.134594   125.179001
   406  1452.742576   124.862000
   407  1546.383846   124.573997
   408  1525.023692   124.311996
   409  1622.132942   124.077003
   410  1702.815942   123.867996
   411  1524.343808   123.684998
   412  1534.726126   123.528000
   413  1590.674497   123.394997
   414  1543.742554   123.287003
   415  1518.483031   123.202003
   416  1699.124781   123.140999
   417  1558.569087   123.102997
   418  1698.198000   123.088997
   419  1593.809546   123.096001
   420  1420.875475   123.125000
   421  1531.328429   123.175003
   422  1500.450352   123.246002
   423  1782.285527   123.337997
   424  1609.110344   123.448997
   425  1809.801745   123.580002
   426  1711.506024   123.728996
   427  1580.339292   123.897003
   428  1764.841892   124.082001
   429  1687.533269   124.285004
   430  1685.330487   124.504997
   431  1685.070076   124.740997
   432  1756.794918   124.992996
   433  1809.987823   125.260002
   434  1742.643783   125.542000
   435  1729.784547   125.837997
   436  1856.458205   126.149002
   437  1825.022886   126.473000
   438  1804.133642   126.809998
   439  1593.941293   127.160004
   440  1980.511777   127.522003
   441  1695.385605   127.894997
   442  1667.911537   128.279999
   443  1672.454590   128.675003
   444  1863.770756   129.080002
   445  1859.892011   129.494003
   446  1733.656248   129.917999
   447  1693.755157   130.350006
   448  1884.658146   130.791000
   449  1623.830320   131.238998
   450  1980.049456   131.694000
   451  2014.090389   132.154999
   452  1708.616546   132.623993
   453  1930.178117   133.097000
   454  1972.976323   133.576004
   455  1733.312299   134.059998
   456  2142.159651   134.548996
   457  2021.983765   135.041000
   458  2041.286596   135.537003
   459  1955.319258   136.035995
   460  1997.446431   136.537994
   461  2101.737455   137.042007
   462  2062.556811   137.548996
   463  1810.555344   138.056000
   464  2143.928774   138.565002
   465  2057.227256   139.074005
   466  2002.425132   139.584000
   467  1842.325409   140.093994
   468  2157.265312   140.604004
