# z      luminosity_distance
    0.145660   762.121026
    0.146480   635.502792
    0.147110   761.373155
    0.147230   715.848933
    0.147610   720.427802
    0.147740   744.651355
    0.148640   761.832208
    0.149490   847.655035
    0.150620   726.459592
    0.150690   735.722449
    0.151710   738.216156
    0.152530   784.779967
    0.152690   798.833492
    0.152860   738.721495
    0.152980   684.424932
    0.153330   793.728583
    0.153520   785.615122
    0.154740   709.574658
    0.154900   707.893621
    0.154990   730.706866
    0.156250   834.058943
    0.156700   875.826071
    0.156800   877.604486
    0.156800   799.346756
    0.158190   860.700762
    0.158810   889.199479
    0.159330   810.832934
    0.159480   864.690524
    0.160180   786.316970
    0.160310   735.627890
    0.160400   748.730148
    0.160460   813.776493
    0.160530   763.672339
    0.161390   769.831183
    0.161630   746.508634
    0.162670   813.077224
    0.163820   878.339037
    0.164480   828.838093
    0.165030   867.900643
    0.165140   819.241543
    0.165760   812.132020
    0.167990   876.456732
    0.169400   793.576041
    0.169410   854.355935
    0.170080   859.113239
    0.170430   900.857698
    0.171440   785.828772
    0.171570   868.188026
    0.172810   855.616315
    0.173310   938.984371
    0.173540   790.359549
    0.173590   875.131510
    0.173650   963.847457
    0.173710   844.515378
    0.174200   884.700834
    0.174240   845.243279
    0.174610   832.379654
    0.175370   877.778916
    0.176750   797.060347
    0.176850   871.563326
    0.177080   951.827864
    0.177460   870.990757
    0.177480   874.198483
    0.177700   927.233067
    0.177720   915.657700
    0.178180   964.458061
    0.178310   922.672776
    0.178700   909.314984
    0.178930   944.249915
    0.179200  1057.985678
    0.179670   822.453640
    0.179720   931.663146
    0.180040   871.179234
    0.180460   815.725743
    0.180580   929.539876
    0.180600   788.093636
    0.180710   848.266297
    0.181220   952.705128
    0.181410   904.252162
    0.181520   970.762928
    0.182120   836.778968
    0.182230   912.720032
    0.182610   879.611291
    0.183530   891.294359
    0.183560   978.620849
    0.183650   917.797865
    0.184460   855.562315
    0.184600   843.439826
    0.184600   893.905274
    0.184780   950.491270
    0.184840   957.886302
    0.185380   949.544098
    0.185420   952.807437
    0.185420   881.491096
    0.185620   985.444659
    0.186280   921.273919
    0.189050   924.223378
    0.189100   868.004114
    0.189140   905.104597
    0.189590   999.324955
    0.189880   967.061346
    0.190050  1062.392876
    0.190240  1005.194932
    0.190700  1105.640503
    0.191410   921.873026
    0.191900   940.914431
    0.193580  1091.909640
    0.195700  1097.804541
    0.195820   946.942111
    0.195900   966.565940
    0.196020  1059.638925
    0.196300  1096.155627
    0.196500  1111.673886
    0.196940   988.583298
    0.197310   985.334839
    0.197770  1046.633201
    0.198400  1066.439268
    0.198450  1099.158262
    0.198600   971.108615
    0.199400  1026.189456
    0.199580  1035.586872
    0.199800   846.151900
    0.200720   932.408210
    0.200730   929.775506
    0.201920   975.654297
    0.202440  1099.901952
    0.202840  1056.882674
    0.202910  1040.403272
    0.202990   940.948752
    0.203110  1036.548426
    0.203140   963.708827
    0.203240  1011.126170
    0.204310  1115.745204
    0.204930   934.177518
    0.205320  1100.875303
    0.205620  1079.228066
    0.205840  1028.611734
    0.207100   902.021139
    0.208240  1023.944715
    0.208270  1018.599410
    0.208610  1119.037868
    0.208800   977.863636
    0.209820  1003.890030
    0.210280  1013.382401
    0.210370  1167.984723
    0.210530  1164.578611
    0.210730  1026.647393
    0.210750  1180.834933
    0.210750  1105.376807
    0.210790  1111.511106
    0.211390  1113.609492
    0.211540   977.754434
    0.211980  1041.413334
    0.212310  1032.692142
    0.213110  1067.659368
    0.213130  1039.286312
    0.213270  1137.370471
    0.214320   994.344486
    0.214340   975.115857
    0.214900  1062.820278
    0.216410  1179.541558
    0.216510  1278.487746
    0.217310  1097.964788
    0.217350   969.765051
    0.217910   966.395153
    0.218400  1134.321058
    0.218600  1126.109174
    0.218610  1058.244382
    0.219110  1231.648639
    0.219290  1245.063206
    0.219460  1219.852088
    0.219500  1068.988094
    0.219860  1117.169857
    0.220430  1243.681978
    0.221460  1168.377408
    0.221460  1156.775755
    0.222300  1060.387623
    0.222590  1044.151590
    0.223080  1127.982268
    0.223740  1112.021550
    0.224250  1102.265253
    0.224480  1112.222376
    0.225100  1173.557012
    0.225560  1175.979148
    0.225620  1151.261073
    0.226440  1207.127602
    0.227960  1250.198681
    0.228530  1123.554877
    0.228890  1190.842413
    0.229390  1184.492229
    0.229430  1235.516376
    0.230270  1131.012557
    0.230710  1072.902245
    0.230860  1208.175745
    0.231520  1197.105536
    0.233530  1265.252659
    0.233590  1108.689004
    0.233620  1105.831901
    0.234660  1162.813561
    0.235170  1270.165916
    0.236030  1282.105622
    0.236430  1203.689370
    0.236570  1178.328888
    0.236800  1279.590845
    0.237530  1158.401825
    0.238230  1227.489390
    0.238510  1459.128905
    0.239430  1213.007175
    0.240010  1241.989223
    0.240740  1218.461418
    0.241110  1246.463425
    0.241460  1218.816360
    0.241620  1215.819101
    0.241770  1182.215538
    0.242370  1375.696536
    0.242750  1306.376591
    0.242880  1173.388374
    0.243170  1261.202442
    0.244100  1296.561631
    0.244880  1298.377792
    0.244940  1306.227364
    0.245100  1323.037367
    0.245260  1359.199219
    0.245270  1217.833270
    0.245300  1338.843051
    0.245750  1391.462712
    0.245830  1245.457377
    0.245990  1242.159539
    0.246150  1245.468661
    0.246160  1253.616484
    0.246490  1344.689021
    0.248050  1211.641876
    0.248280  1331.397973
    0.248320  1337.698267
    0.248490  1327.060433
    0.248620  1271.752722
    0.248800  1398.590706
    0.249000  1187.675884
    0.249310  1385.764671
    0.249430  1412.779332
    0.249540  1281.215457
    0.249990  1332.374506
    0.250010  1350.369717
    0.250100  1410.454054
    0.250120  1145.927849
    0.250500  1329.258260
    0.250510  1298.764720
    0.250850  1373.028922
    0.251490  1404.000950
    0.251630  1468.136657
    0.252180  1205.735947
    0.252490  1287.903394
    0.253400  1291.515402
    0.255770  1489.996882
    0.256260  1336.030313
    0.256410  1232.338760
    0.256540  1361.378096
    0.256900  1497.481492
    0.256930  1229.482125
    0.257400  1314.836252
    0.257690  1234.195113
    0.258480  1427.018243
    0.260430  1319.663697
    0.260510  1554.967343
    0.260880  1390.809751
    0.261100  1335.292655
    0.261320  1596.607869
    0.261360  1376.472990
    0.261990  1654.474607
    0.263120  1498.755884
    0.263180  1365.526528
    0.263270  1399.943438
    0.263490  1398.566958
    0.263770  1256.756340
    0.263880  1275.629659
    0.263880  1328.403991
    0.264190  1491.058579
    0.264600  1420.636864
    0.265500  1335.586304
    0.266580  1510.132934
    0.268010  1355.423521
    0.268260  1269.655531
    0.268280  1346.279709
    0.268480  1473.429262
    0.268490  1394.647812
    0.268620  1519.496713
    0.269910  1421.804992
    0.270010  1428.282480
    0.270470  1444.737014
    0.270570  1497.088126
    0.270880  1358.412107
    0.271310  1471.933166
    0.273070  1338.791966
    0.274460  1383.180202
    0.275090  1517.660332
    0.275090  1535.211682
    0.275110  1431.924624
    0.275400  1379.518813
    0.276310  1544.158531
    0.277160  1327.593680
    0.278050  1420.063738
    0.279000  1371.604902
    0.279460  1341.562435
    0.279890  1465.789569
    0.280510  1466.640000
    0.282510  1524.445953
    0.283130  1425.762678
    0.283600  1543.946880
    0.283970  1602.581297
    0.284000  1508.050738
    0.284030  1251.242418
    0.285090  1540.583932
    0.285400  1395.057715
    0.285460  1717.278284
    0.285780  1463.689054
    0.286220  1745.127026
    0.286310  1516.011169
    0.287070  1491.333174
    0.287120  1721.398952
    0.288450  1605.055612
    0.288540  1540.665487
    0.289600  1616.274003
    0.290030  1457.765111
    0.290200  1490.260575
    0.290800  1555.391846
    0.290900  1593.765444
    0.291210  1537.649201
    0.291720  1641.395744
    0.292120  1555.684509
    0.292450  1542.529384
    0.292820  1505.858822
    0.292910  1742.917786
    0.293180  1734.803011
    0.295320  1730.319084
    0.295600  1543.637674
    0.296490  1634.619778
    0.298430  1601.934820
    0.298590  1625.053582
    0.298800  1403.497516
    0.299110  1466.044351
    0.299480  1496.177289
    0.300040  1630.025760
    0.300060  1928.698899
    0.300120  1569.194645
    0.300780  1469.003684
    0.301430  1537.647826
    0.301560  1617.718503
    0.301580  1594.210836
    0.302490  1510.705372
    0.303170  1588.171865
    0.303370  1539.585449
    0.303690  1486.800582
    0.305250  1620.731973
    0.305380  1675.414618
    0.305490  1620.536750
    0.305670  1559.823432
    0.306170  1620.769235
    0.306420  1659.292531
    0.306660  1708.531220
    0.308010  1831.651268
    0.308800  1631.228920
    0.308940  1610.981848
    0.309000  1599.445878
    0.309200  1685.823282
    0.310320  1688.009834
